"Name,""Architecture"",""Manufacturer"",""Year"",""Memory (MB)"",""Memory_Bandwidth (GB/sec)"",""Memory_Bus (Bit)"",""Memory_Speed (MHz)"""
"GeForce GTS 150,""Tesla G92b"",""Nvidia"",2009,1024,64,256,1000"
"Radeon HD 2900 XT 512MB,""R600 XT"",""AMD"",2007,512,106,512,828"
"Radeon HD 2900 Pro,""R600 PRO"",""AMD"",2007,512,51.2,256,800"
"Radeon HD 2600 XT Diamond Edition,""RV630"",""AMD"",2007,256,36.8,128,1150"
"Radeon HD 2600 XT,""RV630"",""AMD"",2007,256,22.4,128,700"
"Radeon HD 2600 XT 256MB GDDR4,""RV630"",""AMD"",2007,256,35.2,128,1100"
"Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,""R700 RV790 XT"",""AMD"",2009,2048,134.4,256,1050"
"Radeon HD 2900 GT,""R600 GT"",""AMD"",2007,256,51.2,256,800"
"FirePro D300,""Pitcairn XT GL"",""AMD"",2014,2048,160,256,1250"
"Radeon 7000 64mb,""RV100"",""AMD"",2001,64,2.9,64,366"
"Quadro4 980 XGL,""NV28GL A2"",""Nvidia"",2002,128,5.2,128,325"
"Tesla M2090,""Fermi GF110"",""Nvidia"",2011,6144,177.6,384,925"
"Tesla K20,""Kepler GK110"",""Nvidia"",2012,5120,168,320,1050"
"Tesla K40c,""Kepler GK110"",""Nvidia"",2013,12288,288.4,384,1502"
"All-in-Wonder Radeon 7500,""RV200"",""AMD"",2002,64,5.8,128,360"
"Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,""GCN 1.1 Oland XT + Kaveri"",""AMD"",2015,3072,57.6,128,900"
"Tesla K10,""Kepler GK104 x2"",""Nvidia"",2012,8192,320,512,1250"
"Tesla K20X,""Kepler GK110"",""Nvidia"",2012,6144,249.6,384,1300"
"Iris i3 6167U,""Skylake GT3-E"",""Intel"",2015,32,34.1,128,1067"
"Radeon 9800 XT,""R360"",""AMD"",2003,256,23.4,256,730"
"Tesla C2070,""Fermi GF100"",""Nvidia"",2010,6144,144,384,750"
"Tesla C2075,""Fermi GF100"",""Nvidia"",2011,6144,144,384,750"
"Quadro4 750 XGL,""NV25 A2"",""Nvidia"",2002,128,3.6,128,225"
"Quadro4 900 XGL,""NV28GL A2"",""Nvidia"",2002,128,5.2,128,325"
"Iris i5 6360U,""Skylake GT3-E"",""Intel"",2015,32,34.1,128,1067"
"Quadro4 780 XGL,""NV28"",""Nvidia"",2002,128,4.4,128,275"
"Tesla C2050,""Fermi GF100"",""Nvidia"",2010,3072,144,384,750"
"Iris i5 6267U,""Skylake GT3-E"",""Intel"",2015,512,34.1,128,1067"
"Iris i5 6260U,""Skylake GT3-E"",""Intel"",2015,2048,34.1,128,1067"
"Iris i5 4258U,""Haswell GT3"",""Intel"",2013,32,25.6,128,800"
"Quadro4 580 XGL,""NV18 A4"",""Nvidia"",2002,64,3.2,128,200"
